altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1472.0,2022/2022,Automática,104900.0,Sedan,Flex,4482.0,11.2,Preto,Elétrica,2651.0,43.593,1751.0,Volkswagen,1.0,Volkswagen Virtus,5.0,1192.0,521.0,52.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/virtus/2022/1-0-200-tsi-highline-flex-aut/detalhes/11234888?page=detail&sort=0,
1464.0,2022/2022,Manual,64990.0,Sedan,Flex,4213.0,,Branco,Hidráulica,2467.0,111.111,1656.0,Volkswagen,1.6,Volkswagen Voyage,5.0,1033.0,480.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/voyage/2022/1-6/detalhes/11262283?page=detail&sort=0,184.0
1472.0,2015/2015,Manual,38990.0,Hatch,Flex,3966.0,,Branco,Suspensão,2541.0,1.111,1702.0,Peugeot,1.4,Peugeot 208,5.0,1076.0,285.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/peugeot/208/2015/active-pack-1-5-8v-flex/detalhes/11262867?page=detail&sort=0,177.0
1590.0,2018/2019,CVT,78900.0,SUV,Flex,4295.0,11.4,Cinza,Suspensão,2610.0,48.0,1760.0,Nissan,1.6,Nissan Kicks,5.0,1142.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/kicks/2019/1-6-s-direct-cvt-flex-pcd/detalhes/11269199?page=detail&sort=0,
1815.0,2020/2020,Automática,200000.0,Picapes,Diesel,5330.0,,Branco,Suspensão,3085.0,105.3,1855.0,Toyota,2.8,Toyota Hilux Cabine Dupla,5.0,2075.0,,80.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/toyota/hilux-cabine-dupla/2020/hilux-2-8-tdi-cd-std-power-pack-4x4/detalhes/8885235?page=detail&sort=0,
1470.0,2019/2019,Manual,55990.0,Hatch,Flex,3920.0,12.5,Branco,Elétrica,2500.0,1.111,1680.0,Hyundai,1.0,Hyundai HB20,5.0,990.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/hyundai/hb20/2019/1-0-unique-flex/detalhes/11308950?page=detail&sort=0,158.0
1705.0,2017/2017,Manual,66990.0,SUV,Flex,4232.0,9.6,Branco,Hidráulica,2570.0,1.111,1798.0,Jeep,1.7,Jeep Renegade,5.0,1440.0,260.0,60.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/jeep/renegade/2017/limited-1-8-4x2-aut-flex/detalhes/11328589?page=detail&sort=0,179.0
1464.0,2013/2014,Manual,36990.0,Hatch,Flex,3895.0,,Cinza,Suspensão,2465.0,140.0,1656.0,Volkswagen,1.0,Volkswagen Gol,5.0,919.0,285.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/gol/2014/1-0-tec-city-flex-4p/detalhes/11504585?page=detail&sort=0,163.0
1548.0,2017/2018,Manual,51990.0,Hatch,Flex,3820.0,13.1,Branco,Suspensão,2376.0,66.0,1656.0,Fiat,1.0,Fiat Uno,5.0,1025.0,290.0,48.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/fiat/uno/2018/way-1-0-firefly-flex/detalhes/11518128?page=detail&sort=0,154.0
1485.0,2019/2019,Automática,105000.0,Sedan,Flex,4620.0,10.6,Branco,Suspensão,2700.0,74.0,1775.0,Toyota,2.0,Toyota Corolla,5.0,1335.0,470.0,60.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/toyota/corolla/2019/2-0-xei-multi-drive-s-flex/detalhes/11548623?page=detail&sort=0,
1525.0,2018/2018,Manual,45000.0,Hatch,Flex,3886.0,,Branco,Suspensão,2491.0,59.0,1695.0,Ford,1.0,Ford Ka,5.0,1007.0,257.0,52.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/ford/ka/2018/1-0-se-plus-flex/detalhes/11549537?page=detail&sort=0,13.0
1472.0,2018/2018,Automática,69990.0,Sedan,Flex,4482.0,11.2,Cinza,Suspensão,2651.0,90.0,1751.0,Volkswagen,1.0,Volkswagen Virtus,5.0,,521.0,40.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/virtus/2018/1-0-200-tsi-comfortline-flex-aut/detalhes/11561957?page=detail&sort=0,187.0
1580.0,2011/2011,Manual,45000.0,Picapes,Flex,4409.0,,Branco,Suspensão,2718.0,145.0,1664.0,Fiat,1.4,Fiat Strada,4.0,1110.0,,58.0,https://www.mobiauto.com.br/comprar/carros/ma-timon/fiat/strada/2011/working-1-4-flex-cabine-dupla/detalhes/11562737?page=detail&sort=0,163.0
1474.0,2019/2020,Manual,42990.0,Hatch,Flex,3680.0,14.9,Bege,Elétrica,2423.0,54.012,1579.0,Renault,1.0,Renault Kwid,5.0,779.0,290.0,38.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/renault/kwid/2020/zen-1-0-12v-sce-flex/detalhes/11565387?page=detail&sort=0,152.0
,2022/2023,Manual,152990.0,Picapes,Diesel,0.0,,Branco,Suspensão,,63.161,,Mitsubishi,,Mitsubishi L200,,,,,https://www.mobiauto.com.br/comprar/carros/pi-teresina/mitsubishi/l200/2023/triton-gl-2-4/detalhes/11163078?page=detail&sort=0,
1453.0,2022/2023,Manual,64490.0,Hatch,Flex,4055.0,14.7,Branco,Elétrica,2538.0,53.651,1738.0,Peugeot,1.0,Peugeot 208,5.0,1047.0,265.0,47.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/peugeot/208/2023/like-1-0-flex/detalhes/11576679?page=detail&sort=0,
1453.0,2022/2023,Manual,64490.0,Hatch,Flex,4055.0,14.7,Prata,Elétrica,2538.0,54.99,1738.0,Peugeot,1.0,Peugeot 208,5.0,1047.0,265.0,47.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/peugeot/208/2023/like-1-0-flex/detalhes/11423935?page=detail&sort=0,
1795.0,2022/2023,Automática,163480.0,Picapes,Diesel,5280.0,,Branco,Hidráulica,3000.0,55.483,1820.0,Mitsubishi,2.4,Mitsubishi L200,5.0,1950.0,1046.0,76.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/mitsubishi/l200/2023/triton-gls-2-4-turbo/detalhes/11215907?page=detail&sort=0,
1464.0,2022/2023,Manual,58990.0,Sedan,Flex,4213.0,13.4,Branco,Hidráulica,2467.0,61.0,1656.0,Volkswagen,1.0,Volkswagen Voyage,5.0,1015.0,480.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/voyage/2023/1-0-mpi-flex/detalhes/11500182?page=detail&sort=0,162.0
1475.0,2021/2022,Manual,64990.0,Hatch,Flex,3892.0,13.3,Preto,Hidráulica,2467.0,11.0,1893.0,Volkswagen,1.0,Volkswagen Gol,5.0,901.0,285.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/gol/2022/1-0-12v-flex/detalhes/5074351?page=detail&sort=0,166.0
1464.0,2022/2023,Manual,59880.0,Sedan,Flex,4213.0,13.4,Branco,Hidráulica,2467.0,57.119,1656.0,Volkswagen,1.0,Volkswagen Voyage,5.0,1015.0,480.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/voyage/2023/1-0-mpi-flex/detalhes/11500172?page=detail&sort=0,162.0
1466.0,2018/2019,Manual,56990.0,Sedan,Flex,4218.0,11.1,Branco,Suspensão,2467.0,88.0,1656.0,Volkswagen,1.6,Volkswagen Voyage,5.0,997.0,480.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/voyage/2019/1-6-msi-8v-flex/detalhes/5074385?page=detail&sort=0,190.0
1780.0,2015/2015,Manual,90000.0,Picapes,Diesel,5230.0,,Prata,Suspensão,3200.0,150.0,1850.0,Nissan,2.5,Nissan Frontier,5.0,2054.0,,80.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/frontier/2015/2-5-td-cd-4x4-s/detalhes/6599782?page=detail&sort=0,
1781.0,2017/2017,Automática,150000.0,Picapes,Diesel,5361.0,,Branco,Suspensão,3096.0,125.0,1882.0,Chevrolet,2.8,Chevrolet S10 Cabine Dupla,5.0,2018.0,,76.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/chevrolet/s10-cabine-dupla/2017/s10-2-8-ctdi-lt-4wd-cabine-dupla/detalhes/6669919?page=detail&sort=0,
1705.0,2016/2016,Automática,90000.0,SUV,Diesel,4232.0,,Preto,Hidráulica,2570.0,100.0,1798.0,Jeep,2.0,Jeep Renegade,5.0,1629.0,260.0,60.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/jeep/renegade/2016/sport-2-0-tdi-4x4-aut/detalhes/6669892?page=detail&sort=0,
1510.0,2017/2017,Automática,55000.0,Sedan,Flex,4265.0,,Branco,Suspensão,2550.0,100.0,1695.0,Toyota,1.5,Toyota Etios Sedan,5.0,980.0,562.0,45.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/toyota/etios-sedan/2017/xls-1-5-aut-flex/detalhes/6669821?page=detail&sort=0,
1855.0,2019/2019,Automática,160000.0,Picapes,Diesel,5250.0,,Vermelho,Suspensão,3150.0,138.0,1850.0,Nissan,2.3,Nissan Frontier,5.0,1985.0,,80.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/frontier/2019/2-3-cd-turbo-attack-tdi-auto-4x4/detalhes/6669945?page=detail&sort=0,
1509.0,2015/2015,Manual,64900.0,Picapes,Flex,4511.0,,Vermelho,Suspensão,2750.0,98.0,1729.0,Volkswagen,1.6,Volkswagen Saveiro,2.0,1120.0,,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/saveiro/2015/cross-1-6-16v-msi-ce-flex/detalhes/7915392?page=detail&sort=0,179.0
1850.0,2008/2008,Automática,110000.0,SUV,Flex,4695.0,,Preto,Suspensão,2750.0,150.0,1840.0,Toyota,3.0,Toyota Hilux SW4,5.0,1915.0,900.0,65.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/toyota/hilux-sw4/2008/srv-4x4-3-0-turbo-aut/detalhes/7953581?page=detail&sort=0,
1484.0,2022/2022,Automática,122000.0,Sedan,Flex,4665.0,10.5,Preto,Elétrica,2700.0,10.0,1807.0,Chevrolet,1.4,Chevrolet Cruze,5.0,1307.0,440.0,52.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/chevrolet/cruze/2022/midnight-1-4-turbo-aut/detalhes/7953682?page=detail&sort=0,214.0
1476.0,2021/2021,Manual,78000.0,Hatch,Flex,4163.0,,Preto,Suspensão,2551.0,26.0,1731.0,Chevrolet,1.0,Chevrolet Onix,5.0,1075.0,291.0,44.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/chevrolet/onix/2021/ltz-1-0-turbo-flex/detalhes/7953778?page=detail&sort=0,16.0
1475.0,2016/2016,Automática,85000.0,Sedan,Flex,4620.0,10.6,Prata,Suspensão,2700.0,85.0,1775.0,Toyota,2.0,Toyota Corolla,5.0,,470.0,60.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/toyota/corolla/2016/2-0-xei-multi-drive-s-flex/detalhes/7953738?page=detail&sort=0,
