altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1476.0,2021/2021,Automática,95000.0,Hatch,Flex,4163.0,11.2,Vermelho,Suspensão,2551.0,34.986,1731.0,Chevrolet,1.0,Chevrolet Onix,5.0,1100.0,291.0,44.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/chevrolet/onix/2021/premier-ii-1-0-turbo-flex-aut/detalhes/5820251?page=detail&sort=0,16.0
1474.0,2022/2022,Manual,57000.0,Hatch,Flex,3680.0,14.9,Laranja,Elétrica,2423.0,25.0,1579.0,Renault,1.0,Renault Kwid,5.0,779.0,290.0,38.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/renault/kwid/2022/zen-1-0-12v-sce-flex/detalhes/5428550?page=detail&sort=0,152.0
1475.0,2014/2015,Automática,80000.0,Sedan,Flex,4620.0,,Prata,Suspensão,2700.0,118.0,1775.0,Toyota,2.0,Toyota Corolla,5.0,,470.0,60.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/toyota/corolla/2015/2-0-xei-multi-drive-s-flex/detalhes/7255708?page=detail&sort=0,
1580.0,2019/2019,Manual,76000.0,Picapes,Flex,4438.0,10.8,Prata,Suspensão,2718.0,65.145,1664.0,Fiat,1.4,Fiat Strada,4.0,1151.0,,58.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/strada/2019/hard-working-1-4-flex-cabine-dupla/detalhes/7933906?page=detail&sort=0,163.0
1510.0,2014/2015,Manual,43999.0,Hatch,Flex,3777.0,12.4,Cinza,Suspensão,2460.0,79.0,1695.0,Toyota,1.5,Toyota Etios,5.0,945.0,270.0,45.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/toyota/etios/2015/xs-1-5-flex/detalhes/8350732?page=detail&sort=0,
1735.0,2021/2022,Automática,140090.0,Picapes,Diesel,4945.0,,Preto,Elétrica,2990.0,40.933,1845.0,Fiat,2.0,Fiat Toro,5.0,1866.0,937.0,60.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/toro/2022/freedom-2-0-tdi-4x4-aut/detalhes/9684449?page=detail&sort=0,
1628.0,2022/2022,Automática,142290.0,SUV,Flex,4404.0,10.3,Prata,Elétrica,2636.0,43.025,1819.0,Jeep,1.3,Jeep Compass,5.0,1585.0,475.0,60.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/jeep/compass/2022/longitude-1-3-t270-aut-flex/detalhes/9684647?page=detail&sort=0,204.0
1900.0,2022/2022,Manual,91490.0,Furgão & Van,Diesel,4384.0,,Branco,Hidráulica,2717.0,38.09,1643.0,Fiat,1.4,Fiat Fiorino,2.0,1118.0,3100.0,58.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/fiorino/2022/1-4-endurance-flex/detalhes/9735357?page=detail&sort=0,157.0
1702.0,2022/2023,Automática,122490.0,SUV,Flex,4268.0,,Prata,Elétrica,2570.0,36.68,1805.0,Jeep,1.3,Jeep Renegade,5.0,1468.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/jeep/renegade/2023/longitude-t270-1-3-turbo-4x2/detalhes/9735892?page=detail&sort=0,208.0
1702.0,2022/2023,Automática,122290.0,SUV,Flex,4268.0,,Preto,Elétrica,2570.0,38.709,1805.0,Jeep,1.3,Jeep Renegade,5.0,1468.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/jeep/renegade/2023/longitude-t270-1-3-turbo-4x2/detalhes/9736003?page=detail&sort=0,208.0
1590.0,2022/2022,Automática,99990.0,SUV,Flex,4310.0,11.4,Prata,Elétrica,2610.0,60.025,1760.0,Nissan,1.6,Nissan Kicks,5.0,1136.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/nissan/kicks/2022/advance-1-6/detalhes/9736122?page=detail&sort=0,175.0
