id,endereco,valor,area,iptu,condominio,quarto,vaga,banheiro,url,bairro,tipo,area_servico,espaco_gourmet,piscina,elevador,salao_de_festa,academia,playground,quadra_de_esporte,portaria_24_horas,varanda_gourmet,sauna,spa,comercio,bairro_completo,latitude,longitude,z_lat,z_lon
2577600991,"Aviario, Rio Branco",620000,105,NA,NA,2,2,2,https://www.zapimoveis.com.br/venda/apartamentos/ac+rio-branco++aviario/?pagina=1,aviario,apartamentos,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,aviario,-9.9669043,-67.8031372,-0.22853210716414626,0.2583193318395294
2635916354,"Aviario, Rio Branco",98000,168,NA,NA,0,0,0,https://www.zapimoveis.com.br/venda/terrenos-lotes-condominios/ac+rio-branco++aviario/?pagina=1,aviario,terrenos_lotes_condominio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,aviario,-9.9669043,-67.8031372,-0.22853210716414626,0.2583193318395294
2632689806,"Bosque, Rio Branco",380000,100,NA,NA,3,1,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++bosque/?pagina=1,bosque,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bosque,-9.9620675,-67.8430475,-0.20278583314418988,0.21032829076954038
2630859467,"Baixa da Colina, Rio Branco",330000,108,NA,NA,3,2,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++baixa-da-colina/?pagina=1,baixa_da_colina,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,baixa da colina,-9.9597888,-67.8011337,-0.19065631887664267,0.26072848563651285
2617910974,"Calafate, Rio Branco",145000,124,NA,NA,2,2,2,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++calafate/?pagina=1,calafate,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,calafate,-9.977137,-67.8766039,-0.28300074307302425,0.1699776401715416
2622640235,"Travessa Bom Jesus, Calafate",145000,100,NA,NA,2,NA,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++calafate/?pagina=1,calafate,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,calafate,-9.9796184,-67.8783539,-0.29620922892174556,0.16787331317144757
2627351562,"Estrada do Calafate, Calafate",1350000,191,NA,NA,3,4,4,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++calafate/?pagina=1,calafate,casas,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,calafate,-9.9802553,-67.8922322,-0.2995994459915665,0.15118503808251885
2616502029,"Cidade do Povo, Rio Branco",220000,96,NA,NA,3,2,2,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++cid-do-povo/?pagina=1,cid_do_povo,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cidade do povo,-10.0313607,-67.7485956,-0.571633359384636,0.3239041098447666
2635915960,"Centro, Rio Branco",365000,63,NA,NA,2,NA,2,https://www.zapimoveis.com.br/venda/apartamentos/ac+rio-branco++centro/?pagina=1,centro,apartamentos,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,centro,-9.9696487,-67.8248029,-0.24314054133971663,0.23226692184737233
2636388172,"Centro, Rio Branco",265000,91,NA,NA,2,1,1,https://www.zapimoveis.com.br/venda/apartamentos/ac+rio-branco++centro/?pagina=1,centro,apartamentos,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,centro,-9.9696487,-67.8248029,-0.24314054133971663,0.23226692184737233
